key,clientASN,clientASName,download,upload,latencyMs,loss,clientCity,clientCountry,serverPoP
"Ashburn, US (to IAD)",7784,ATLANTECH,57260400.307692304,15968780.807692308,139.57307692307694,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",7922,COMCAST-7922,93972372.57408975,60473637.51651143,21.90658763759526,0.002850126952980149,Ashburn,US,IAD
"Ashburn, US (to IAD)",10967,HOMEDEPOTNET,20646094.93137255,29666928.10784314,77.13823529411765,0.0016470588378462098,Ashburn,US,IAD
"Ashburn, US (to IAD)",13150,CATON,66839505.164215684,58819042.09313726,46.188235294117646,0.014687908308700731,Ashburn,US,IAD
"Ashburn, US (to IAD)",14201,TELETECH,53848215.81944445,9587319.263888888,40.16111111111111,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",14277,GIGSTREEM,148324022.69815668,92801209.55645162,38.295852534562215,0.0797211983303372,Ashburn,US,IAD
"Ashburn, US (to IAD)",14593,SPACEX-STARLINK,33023292.992823977,8115393.765301815,49.18807091599831,0.008150738774194938,Ashburn,US,IAD
"Ashburn, US (to IAD)",14618,AMAZON-AES,73000239.77623159,48025380.60863382,130.4340873539868,0.00795037072781452,Ashburn,US,IAD
"Ashburn, US (to IAD)",15830,Equinix,24894996.51868711,37604016.57906085,111.691854336368,0.008987446115945721,Ashburn,US,IAD
"Ashburn, US (to IAD)",16276,OVH,71858205.32246879,36959817.44105409,231.43632454923716,0.031604993503428366,Ashburn,US,IAD
"Ashburn, US (to IAD)",16509,AMAZON-02,30269444.81111111,27633947.619298246,88.72479532163743,0.00037953216604321967,Ashburn,US,IAD
"Ashburn, US (to IAD)",22703,ANTHEM,45501622.733333334,55673529.81666667,33.68833333333333,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",22809,AMFAM-INS,32202767.814814813,24810871.51851852,26.725925925925928,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",22899,UMICO,13883395.911764706,7714295.220588235,154.20294117647057,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",25198,ZetServers,7533619.903846154,8445885.25,382.4826923076923,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",25771,MAXIM-60,158035867.85,132253240.1,17.66,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",27277,SPACEX,32351058.6119403,55459947.43283582,38.37164179104478,0.00895522368043215,Ashburn,US,IAD
"Ashburn, US (to IAD)",31898,ORACLE-BMC-31898,105856067.69661017,60386666.39774011,208.5609943502825,0.01213570611517202,Ashburn,US,IAD
"Ashburn, US (to IAD)",35985,ONERINGNET-ATL-1,177780177.0,98742854.95,27.355,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",36180,CISCO-IOT,11280437.566037735,6487783.198113208,70.32971698113208,0.0023905660282767687,Ashburn,US,IAD
"Ashburn, US (to IAD)",36352,AS-COLOCROSSING,8626080.111111112,16840174.833333332,298.48333333333335,0.0020000000949949,Ashburn,US,IAD
"Ashburn, US (to IAD)",36692,CISCO-UMBRELLA,19761248.15629139,14545101.682781456,90.70576158940398,0.0028692714820634426,Ashburn,US,IAD
"Ashburn, US (to IAD)",40339,JUMP-TRADING-LLC,42278888.833333336,17808183.0,224.77777777777777,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",40676,AS40676,8609028.476744186,7834253.319767442,269.4017441860465,0.004034883640489943,Ashburn,US,IAD
"Ashburn, US (to IAD)",40934,FORTINET,35767323.46350365,38108617.4689781,45.25109489051095,0.004222627657798733,Ashburn,US,IAD
"Ashburn, US (to IAD)",44444,Forcepoint-Cloud-AS,35078384.48163962,30684479.525436137,77.23049286324265,0.005682847392918577,Ashburn,US,IAD
"Ashburn, US (to IAD)",45102,ALIBABA-CN-NET,1007172.1413043478,864345.75,1080.4510869565217,0.05395652143203689,Ashburn,US,IAD
"Ashburn, US (to IAD)",46261,QUICKPACKET,6364977.214285715,4076356.0714285714,288.40714285714284,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",46887,CROWNCASTLE-AS46887,315407695.65,230664519.0,3.4200000000000004,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",53334,TUT-AS,5346193.457142857,5107874.231428571,290.2857142857143,0.007971428632736206,Ashburn,US,IAD
"Ashburn, US (to IAD)",53639,VNB-WAYNE,39210584.33695652,32382896.75,38.75217391304348,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",53766,VMWARE-SASE,110450224.35,96690232.75,16.5775,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",54825,PACKET,12115339.765873017,5111018.253968254,96.16904761904762,0.012539682883052274,Ashburn,US,IAD
"Ashburn, US (to IAD)",55256,NETSKOPE,27957946.61594867,37623100.367552705,133.8118423464711,0.002702108108083716,Ashburn,US,IAD
"Ashburn, US (to IAD)",60068,CDN77,20975740.45567867,18123530.797783934,173.42894736842103,0.0012188365662320802,Ashburn,US,IAD
"Ashburn, US (to IAD)",62240,Clouvider,33135863.98521257,30733672.73813925,93.29180529882933,0.0015268022226352148,Ashburn,US,IAD
"Ashburn, US (to IAD)",62642,BIGLEAF,52336403.526315786,24327791.97368421,54.47631578947368,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",62651,NETPROTECT-62651,87256528.94827586,44109138.93103448,114.99137931034483,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",63023,AS-GLOBALTELEHOST,2224082.8095238097,853788.3571428572,247.8095238095238,0.0479666683434819,Ashburn,US,IAD
"Ashburn, US (to IAD)",63182,RAPIDSCALE,33301795.277777776,14554961.444444444,47.766666666666666,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",63949,AKAMAI-LINODE-AP,14978466.555555556,17201926.48148148,483.3787037037037,0.011388888796015293,Ashburn,US,IAD
"Ashburn, US (to IAD)",132203,TENCENT-NET-AP-CN,278183.06666666665,4107957.533333333,461.0833333333333,0.008333333457509666,Ashburn,US,IAD
