name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Montana,US,202506,39.34309387207031,31.55938148498535,26.638830184936523,99.7859344482422,181.609375,264.77734375,15.890625,21.392969131469727,28.499217987060547,181.609375,21.392969131469727,31.55938148498535,US
Nebraska,US,202506,28.171953201293945,25.35313034057617,23.540193557739254,195.3828125,273.02423095703125,335.71795654296875,17.678354263305664,23.94921875,33.735939025878906,273.02423095703125,23.94921875,25.35313034057617,US
Nevada,US,202506,26.04033660888672,23.636857986450195,21.66924476623535,213.7140655517578,285.07421875,346.0992126464844,19.146093368530277,25.864843368530277,34.482032775878906,285.07421875,25.864843368530277,23.636857986450195,US
New Hampshire,US,202506,29.85322570800781,26.224050521850582,23.95460319519043,161.92031860351562,236.4437561035156,308.9437561035156,16.754222869873047,22.982812881469727,31.71875,236.4437561035156,22.982812881469727,26.224050521850582,US
New Jersey,US,202506,32.59986114501953,27.65408706665039,24.765670776367188,143.9171905517578,231.0007781982422,306.04217529296875,15.421875,21.614063262939453,29.434375762939453,231.0007781982422,21.614063262939453,27.65408706665039,US
New Mexico,US,202506,29.816017150878903,26.385292053222656,24.22579765319824,173.9929656982422,250.9523468017578,319.75860595703125,16.795312881469727,22.696094512939453,30.322656631469727,250.9523468017578,22.696094512939453,26.385292053222656,US
New York,US,202506,32.57437896728516,27.669776916503903,24.62541961669922,132.55262756347656,219.1171875,294.03985595703125,14.856249809265137,20.420312881469727,28.328907012939453,219.1171875,20.420312881469727,27.669776916503903,US
North Carolina,US,202506,41.28170394897461,32.46242904663086,27.9141788482666,58.19453048706055,141.0234375,227.0382843017578,11.6640625,17.393749237060547,24.068256378173828,141.0234375,17.393749237060547,32.46242904663086,US
North Dakota,US,202506,39.88735580444336,32.0189208984375,27.30226325988769,128.52188110351562,213.7367248535156,290.5367126464844,17.51041603088379,23.482812881469727,30.782812118530277,213.7367248535156,23.482812881469727,32.0189208984375,US
Ohio,US,202506,36.8353271484375,30.948410034179688,26.969633102416992,91.8843765258789,160.89297485351562,232.3937530517578,12.317968368530272,17.892187118530273,24.700780868530277,160.89297485351562,17.892187118530273,30.948410034179688,US
Oklahoma,US,202506,34.50289535522461,29.29280662536621,26.247966766357425,96.9078140258789,175.7039031982422,254.7281188964844,13.413461685180664,19.00390625,25.986719131469727,175.7039031982422,19.00390625,29.29280662536621,US
